Data_NId,IUSNId,TimePeriod_NId,Area_NId,Data_Value,Start_Date,End_Date,Data_Denominator,Source_NId,Indicator_NId,Unit_NId,Subgroup_Val_NId,Indicator_GId,Unit_GId,Subgroup_Val_GId,TimePeriod,Area_GId,Source_GId
4384,1516,325,744,206004,,,,617,794,9,8,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2016,3bdb1b68-0b06-46ba-8a53-7660edb680b0,D9725D2D-92DD-2D47-D992-CBC40062CECE
4771,4588,322,504,13681,,,,617,794,9,410,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,4ace48d5-0991-4a4a-97b8-e56cd5c149b0,2013,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5484,1525,318,504,57386,,,,617,794,9,225,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,edf114bc-d1cf-4fa4-8456-0bb45cf61758,2009,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4680,1562,317,504,15148,,,,617,794,9,253,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,ac3012d5-a139-48b9-99a7-2d8206a1fc87,2008,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
8426,1527,310,504,167044,,,,617,794,9,227,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,26c15076-5cc5-4ee6-9ad7-2d72be4a3be2,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5627,1598,320,504,58415,,,,617,794,9,271,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a8cff062-29c9-4592-9c0f-3da46ebcd2e5,2011,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5681,1557,319,504,77543,,,,617,794,9,249,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,ac9ff79d-0698-4510-9dd2-f026324cb280,2010,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4749,1529,315,504,36628,,,,617,794,9,229,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a7b26577-237c-418d-8481-baaadd952f88,2007,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4889,4584,310,504,3721,,,,617,794,9,406,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,adf14056-a85a-4eb3-8380-547bc814c9d2,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5001,1531,313,504,142513,,,,617,794,9,18,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,1389dc4f-530f-4c04-9871-22188a10461a,2006,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5103,4571,312,504,46049,,,,617,794,9,393,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,4dc69d16-d4cc-457d-937c-2adab572ca7b,2005,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5586,1546,320,504,11557,,,,617,794,9,240,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,96029fbf-06ff-4971-b1a7-f7288dbf032f,2011,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4945,1543,323,504,381985,,,,617,794,9,9,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a829fab7-cfdd-46f7-a8b7-678a952d2055,2014,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4684,1567,317,504,57310,,,,617,794,9,35,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,313f7545-ec02-4c19-87c6-d4ac59c996e7,2008,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5556,4578,315,504,7534,,,,617,794,9,400,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,20f5e2cf-88bc-4f22-a4c9-650195e95dd2,2007,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
7069,1518,308,504,45797,,,,617,794,9,12,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9546b01d-0548-4a8d-8186-779b0d44c2f0,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
8319,1089,308,504,79,,,,617,405,69,2,DA147085-F161-4BA2-888E-1001549259E9,7a6ead17-a68b-44bb-998e-7fbf661b774c,15235530-8209-469e-8333-dc93254f2ec9,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
7482,1606,308,504,50.4,,,,617,395,13,8,c4fc0e08-1925-4d25-a868-9cf0cf852656,B602B58B-6879-4188-9D49-DD833281FE4E,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5226,1605,312,504,88180,,,,617,794,9,7,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,e8204187-3e74-47ff-ae28-f6dae02174d1,2005,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4371,1544,319,504,190439,,,,617,794,9,239,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,27b98958-7538-4486-a99e-305fe0fb71da,2010,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
7663,1636,308,504,3.4,,,,617,395,13,240,c4fc0e08-1925-4d25-a868-9cf0cf852656,B602B58B-6879-4188-9D49-DD833281FE4E,96029fbf-06ff-4971-b1a7-f7288dbf032f,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
