Subgroup_Val_Subgroup_NId;Subgroup_Val_NId;Subgroup_Val_GId;Subgroup_NId;Subgroup_GId
141;505;ce1409fe-f107-422b-8eab-5d64ae9e0471;354;f0b0ba89-b21a-4262-9a9c-1e5707bbc0ee
142;506;216a6fca-7b92-472a-ac55-a900b4f1dbb9;355;a0c85b0d-9ef3-4c0e-9a16-4e77aea4a694
143;507;807d023b-88b1-41a3-97f9-bc591544bb7b;358;8a8484bd-3acb-400e-a1d0-83573d36fc17
144;508;2d06b38d-943b-48ca-841c-eaaf6522bb0e;359;b3f7cae4-ef74-4e53-964a-1ab48341bb3a
145;509;6a80fd0c-83f0-45da-9e94-b4581644dfea;357;e4c9af67-0f3e-4892-b8bc-4909ab01a962
146;510;1de552bf-23ba-453c-b620-0991385f2358;356;fca7439c-f792-4820-8df6-735e4f3c3429
147;511;76399e78-ae90-41a7-b731-01f4006ec163;369;a3afaba2-b6c3-456b-9da9-32da1b7997cd
148;512;5e494a14-e6de-488b-aa90-3f510e6e698f;362;87d6b627-513b-4519-a07b-cec66ed83db4
149;513;dee3f0b7-0624-4ad2-9a1d-47e3566bd1e1;367;938c16f9-ad9a-4161-b21f-9a8fbeefba76
150;514;a614f3af-39b2-45d1-8e06-dbd2845c5184;368;fa633a40-7191-44b2-b3f7-f845d53dcfe0
151;515;1c5b943b-0ddb-41a7-9f26-8fcce81898a3;360;5ac224bd-e4a3-4399-b3a7-fb1547ad562b
152;516;1920d899-8bed-45a4-99bd-a1bd32c2527f;364;28a08356-bf9f-4589-ab2f-b01abecf1ef4
153;517;f3512336-04e3-4ce8-a7a3-045dab492d8c;371;81464cde-d8b4-471a-9300-d01f68541e8f
154;518;22b2294c-54e8-4c78-a39c-034d3b9acd54;366;03e7fb24-bd8c-4303-81d8-debfcc27d7af
155;519;34c42ade-6351-4796-92d7-9713fbb4ba28;365;7a7acf8e-4f8c-447f-95d2-c06107a5721c
156;520;53cad14e-e964-41af-ad31-64d07907ebec;361;2b08cae9-03af-4ac0-8576-c328911e9f11
157;521;a6ebe860-ac08-4926-9d69-bdbdba54f32e;363;a2e7449c-38e6-4af5-a49a-6ad017f4069a
158;522;2e10d085-9cbe-4c29-bda9-19e215154f2e;372;0a0dc168-891c-4e67-ad4c-b33434e49626
159;523;ef354654-fe49-45ad-bd63-c321dbd70f6e;373;82d4e3b6-5b3b-4f7e-9c3c-23203d1fd900
